TStates,Addr,WStates,OpType,IStates
3597,0x800A, ,RN,1
3598,0x800A, ,RN,1
3599,0x800A, ,RN,1
3600,0x8007, ,RR,4
3607,0x8008, ,RR,4
3611,0x8009, ,RR,4
3615,0x3F5D, ,RN,1
3619,0x800A, ,RN,1
3620,0x800A, ,RN,1
3621,0x800A, ,RN,1
3622,0x800A, ,RN,1
3623,0x800A, ,RN,1
3624,0x8007, ,RR,4
3631,0x8008, ,RR,4
3635,0x8009, ,RR,4
3639,0x3F60, ,RN,1
3643,0x800A, ,RN,1
3644,0x800A, ,RN,1
3645,0x800A, ,RN,1
3646,0x800A, ,RN,1
3647,0x800A, ,RN,1
3648,0x8007, ,RR,4
3655,0x8008, ,RR,4
3659,0x8009, ,RR,4
3663,0x3F63, ,RN,1
3667,0x800A, ,RN,1
3668,0x800A, ,RN,1
3669,0x800A, ,RN,1
3670,0x800A, ,RN,1
3671,0x800A, ,RN,1
3672,0x8007, ,RR,4
3679,0x8008, ,RR,4
3683,0x8009, ,RR,4
3687,0x3F66, ,RN,1
3691,0x800A, ,RN,1
3692,0x800A, ,RN,1
3693,0x800A, ,RN,1
3694,0x800A, ,RN,1
3695,0x800A, ,RN,1
3696,0x8007, ,RR,4
3703,0x8008, ,RR,4
3707,0x8009, ,RR,4
3711,0x3F69, ,RN,1
3715,0x800A, ,RN,1
3716,0x800A, ,RN,1
3717,0x800A, ,RN,1
3718,0x800A, ,RN,1
3719,0x800A, ,RN,1
3720,0x8007, ,RR,4
3727,0x8008, ,RR,4
3731,0x8009, ,RR,4
3735,0x3F6C, ,RN,1
3739,0x800A, ,RN,1
3740,0x800A, ,RN,1
3741,0x800A, ,RN,1
3742,0x800A, ,RN,1
3743,0x800A, ,RN,1
3744,0x8007, ,RR,4
3751,0x8008, ,RR,4
3755,0x8009, ,RR,4
3759,0x3F6F, ,RN,1
3763,0x800A, ,RN,1
3764,0x800A, ,RN,1
3765,0x800A, ,RN,1
3766,0x800A, ,RN,1
3767,0x800A, ,RN,1
3768,0x8007, ,RR,4
3775,0x8008, ,RR,4
3779,0x8009, ,RR,4
3783,0x3F72, ,RN,1
3787,0x800A, ,RN,1
3788,0x800A, ,RN,1
3789,0x800A, ,RN,1
3790,0x800A, ,RN,1
3791,0x800A, ,RN,1
3792,0x8007, ,RR,4
3799,0x8008, ,RR,4
3803,0x8009, ,RR,4
3807,0x3F75, ,RN,1
3811,0x800A, ,RN,1
3812,0x800A, ,RN,1
3813,0x800A, ,RN,1
3814,0x800A, ,RN,1
3815,0x800A, ,RN,1
3816,0x8007, ,RR,4
3823,0x8008, ,RR,4
3827,0x8009, ,RR,4
3831,0x3F78, ,RN,1
3835,0x800A, ,RN,1
3836,0x800A, ,RN,1
3837,0x800A, ,RN,1
3838,0x800A, ,RN,1
3839,0x800A, ,RN,1
3840,0x8007, ,RR,4
3847,0x8008, ,RR,4
3851,0x8009, ,RR,4
3855,0x3F7B, ,RN,1
3859,0x800A, ,RN,1
3860,0x800A, ,RN,1
3861,0x800A, ,RN,1
3862,0x800A, ,RN,1
3863,0x800A, ,RN,1
3864,0x8007, ,RR,4
3871,0x8008, ,RR,4
3875,0x8009, ,RR,4
3879,0x3F7E, ,RN,1
3883,0x800A, ,RN,1
3884,0x800A, ,RN,1
3885,0x800A, ,RN,1
3886,0x800A, ,RN,1
3887,0x800A, ,RN,1
3888,0x8007, ,RR,4
3895,0x8008, ,RR,4
3899,0x8009, ,RR,4
3903,0x3F01, ,RN,1
3907,0x800A, ,RN,1
3908,0x800A, ,RN,1
3909,0x800A, ,RN,1
3910,0x800A, ,RN,1
3911,0x800A, ,RN,1
3912,0x8007, ,RR,4
3919,0x8008, ,RR,4
3923,0x8009, ,RR,4
3927,0x3F04, ,RN,1
3931,0x800A, ,RN,1
3932,0x800A, ,RN,1
3933,0x800A, ,RN,1
3934,0x800A, ,RN,1
3935,0x800A, ,RN,1
3936,0x8007, ,RR,4
3943,0x8008, ,RR,4
3947,0x8009, ,RR,4
3951,0x3F07, ,RN,1
3955,0x800A, ,RN,1
3956,0x800A, ,RN,1
3957,0x800A, ,RN,1
3958,0x800A, ,RN,1
3959,0x800A, ,RN,1
3960,0x8007, ,RR,4
3967,0x8008, ,RR,4
3971,0x8009, ,RR,4
3975,0x3F0A, ,RN,1
3979,0x800A, ,RN,1
3980,0x800A, ,RN,1
3981,0x800A, ,RN,1
3982,0x800A, ,RN,1
3983,0x800A, ,RN,1
3984,0x8007, ,RR,4
3991,0x8008, ,RR,4
3995,0x8009, ,RR,4
3999,0x3F0D, ,RN,1
4003,0x800A, ,RN,1
4004,0x800A, ,RN,1
4005,0x800A, ,RN,1
4006,0x800A, ,RN,1
4007,0x800A, ,RN,1
4008,0x8007, ,RR,4
4015,0x8008, ,RR,4
4019,0x8009, ,RR,4
4023,0x3F10, ,RN,1
4027,0x800A, ,RN,1
4028,0x800A, ,RN,1
4029,0x800A, ,RN,1
4030,0x800A, ,RN,1
4031,0x800A, ,RN,1
4032,0x8007, ,RR,4
4039,0x8008, ,RR,4
4043,0x8009, ,RR,4
4047,0x3F13, ,RN,1
4051,0x800A, ,RN,1
4052,0x800A, ,RN,1
4053,0x800A, ,RN,1
4054,0x800A, ,RN,1
4055,0x800A, ,RN,1
4056,0x8007, ,RR,4
4063,0x8008, ,RR,4
4067,0x8009, ,RR,4
4071,0x3F16, ,RN,1
4075,0x800A, ,RN,1
4076,0x800A, ,RN,1
4077,0x800A, ,RN,1
4078,0x800A, ,RN,1
4079,0x800A, ,RN,1
4080,0x8007, ,RR,4
4087,0x8008, ,RR,4
4091,0x8009, ,RR,4
4095,0x3F19, ,RN,1
4099,0x800A, ,RN,1
4100,0x800A, ,RN,1
4101,0x800A, ,RN,1
4102,0x800A, ,RN,1
4103,0x800A, ,RN,1
4104,0x8007, ,RR,4
4111,0x8008, ,RR,4
4115,0x8009, ,RR,4
4119,0x3F1C, ,RN,1
4123,0x800A, ,RN,1
4124,0x800A, ,RN,1
