TStates,Addr,WStates,OpType,IStates
1115,0x4DE7, ,WN,1
1116,0x4DE7, ,WN,1
1117,0x4DE7, ,WN,1
1118,0x4DE7, ,WN,1
1119,0x87AB, ,RR,4
1123,0x87AC, ,RR,4
1133,0x4DE8, ,WN,1
1134,0x4DE8, ,WN,1
1135,0x4DE8, ,WN,1
1136,0x4DE8, ,WN,1
1137,0x4DE8, ,WN,1
1138,0x4DE8, ,WN,1
1139,0x4DE8, ,WN,1
1140,0x87AB, ,RR,4
1144,0x87AC, ,RR,4
1154,0x4DE9, ,WN,1
1155,0x4DE9, ,WN,1
1156,0x4DE9, ,WN,1
1157,0x4DE9, ,WN,1
1158,0x4DE9, ,WN,1
1159,0x4DE9, ,WN,1
1160,0x4DE9, ,WN,1
1161,0x87AB, ,RR,4
1165,0x87AC, ,RR,4
1175,0x4DEA, ,WN,1
1176,0x4DEA, ,WN,1
1177,0x4DEA, ,WN,1
1178,0x4DEA, ,WN,1
1179,0x4DEA, ,WN,1
1180,0x4DEA, ,WN,1
1181,0x4DEA, ,WN,1
1182,0x87AB, ,RR,4
1186,0x87AC, ,RR,4
1196,0x4DEB, ,WN,1
1197,0x4DEB, ,WN,1
1198,0x4DEB, ,WN,1
1199,0x4DEB, ,WN,1
1200,0x4DEB, ,WN,1
1201,0x4DEB, ,WN,1
1202,0x4DEB, ,WN,1
1203,0x87AB, ,RR,4
1207,0x87AC, ,RR,4
1217,0x4DEC, ,WN,1
1218,0x4DEC, ,WN,1
1219,0x4DEC, ,WN,1
1220,0x4DEC, ,WN,1
1221,0x4DEC, ,WN,1
1222,0x4DEC, ,WN,1
1223,0x4DEC, ,WN,1
1224,0x87AB, ,RR,4
1228,0x87AC, ,RR,4
1238,0x4DED, ,WN,1
1239,0x4DED, ,WN,1
1240,0x4DED, ,WN,1
1241,0x4DED, ,WN,1
1242,0x4DED, ,WN,1
1243,0x4DED, ,WN,1
1244,0x4DED, ,WN,1
1245,0x87AB, ,RR,4
1249,0x87AC, ,RR,4
1259,0x4DEE, ,WN,1
1260,0x4DEE, ,WN,1
1261,0x4DEE, ,WN,1
1262,0x4DEE, ,WN,1
1263,0x4DEE, ,WN,1
1264,0x4DEE, ,WN,1
1265,0x4DEE, ,WN,1
1266,0x87AB, ,RR,4
1270,0x87AC, ,RR,4
1280,0x4DEF, ,WN,1
1281,0x4DEF, ,WN,1
1282,0x4DEF, ,WN,1
1283,0x4DEF, ,WN,1
1284,0x4DEF, ,WN,1
1285,0x4DEF, ,WN,1
1286,0x4DEF, ,WN,1
1287,0x87AB, ,RR,4
1291,0x87AC, ,RR,4
1301,0x4DF0, ,WN,1
1302,0x4DF0, ,WN,1
1303,0x4DF0, ,WN,1
1304,0x4DF0, ,WN,1
1305,0x4DF0, ,WN,1
1306,0x4DF0, ,WN,1
1307,0x4DF0, ,WN,1
1308,0x87AB, ,RR,4
1312,0x87AC, ,RR,4
1322,0x4DF1, ,WN,1
1323,0x4DF1, ,WN,1
1324,0x4DF1, ,WN,1
1325,0x4DF1, ,WN,1
1326,0x4DF1, ,WN,1
1327,0x4DF1, ,WN,1
1328,0x4DF1, ,WN,1
1329,0x87AB, ,RR,4
1333,0x87AC, ,RR,4
1343,0x4DF2, ,WN,1
1344,0x4DF2, ,WN,1
1345,0x4DF2, ,WN,1
1346,0x4DF2, ,WN,1
1347,0x4DF2, ,WN,1
1348,0x4DF2, ,WN,1
1349,0x4DF2, ,WN,1
1350,0x87AB, ,RR,4
1354,0x87AC, ,RR,4
1364,0x4DF3, ,WN,1
1365,0x4DF3, ,WN,1
1366,0x4DF3, ,WN,1
1367,0x4DF3, ,WN,1
1368,0x4DF3, ,WN,1
1369,0x4DF3, ,WN,1
1370,0x4DF3, ,WN,1
1371,0x87AB, ,RR,4
1375,0x87AC, ,RR,4
1385,0x4DF4, ,WN,1
1386,0x4DF4, ,WN,1
1387,0x4DF4, ,WN,1
1388,0x4DF4, ,WN,1
1389,0x4DF4, ,WN,1
1390,0x4DF4, ,WN,1
1391,0x4DF4, ,WN,1
1392,0x87AB, ,RR,4
1396,0x87AC, ,RR,4
1406,0x4DF5, ,WN,1
